Agency/Department,Contract Number,Contract Value,Supplier,Procurement Type,Description,Type of Solicitation,Effective From,Effective To
Public Utilities,25000009836,10000000.00,Mastec North America Inc,Invitation to Bid,"IFB# 250004684(Gas Leaks & Repair) 5 year initial term, with two 2-year renewals",Construction - Term,04/01/2025 12:00:00 AM,04/01/2030 12:00:00 AM
Public Utilities,25000009837,5000000.00,"Southeast Connections, LLC",Invitation to Bid,"IFB# 250004684(Gas Leaks & Repair) 5 year initial term, with two 2-year renewals",Construction - Term,03/31/2025 12:00:00 AM,03/31/2030 12:00:00 AM
Information Technology,25000009871,30456.84,MYTHICS LLC,Cooperative Agreement,Requisition 250009870/3514026 - Oracle Project Costing - Support and Update Rights - for 40 licenses quote number SR-20805020-COR-FY25 and Maricopa County Contract # 180233-0024/Quote terms15/2025 - 4/14/2026,"Non Professional Services, Technology",04/14/2025 12:00:00 AM,11/30/2028 12:00:00 AM
City Wide,25000010079,500000.00,LOWE'S HOME CENTER,Cooperative Agreement,"Cooperative Initiative / Region 4 Contract #24-08 / 3-year initial term, 1x 1-year renewal","Supplies, Non Technology",04/01/2025 12:00:00 AM,03/31/2027 12:00:00 AM
Public Works,25000010095,0.00,"Sodexo Operations, LLC",Invitation to Bid,IFB_230003595_Vending Machine Services / DPW / Initial Period - 2Year with Two (2) Two (2)-year renewal terms,"Non Professional Services, Non Technology",01/11/2025 12:00:00 AM,01/10/2027 12:00:00 AM
Information Technology,25000010225,458158.00,Microsoft,Cooperative Agreement,Requisition 250009274/New Cooperative > COR Contract Microsoft > Microsoft Unified Support/Term of quote 5/15/2025 - 5/14/2026,"Non Professional Services, Technology",04/14/2025 12:00:00 AM,03/04/2028 12:00:00 AM
Public Works,25000010287,7782628.94,Metropolis Capital Holdings LLC,Request for Proposal,Replacing Contract #22000006090:Name Change: RFP / Services - Non-Professional and Non-Technology / Department of Public Works / Parking Operations Services / Initial Term of Five (5) years with Three (3) One (1) year renewal and extension.,"Non Professional Services, Non Technology",06/18/2025 12:00:00 AM,12/19/2026 12:00:00 AM
Police Department,25000010321,306110.00,Law and Order Technology LLC,Cooperative Agreement,Purchase of 40 ToughBook Laptop using Sourcewell Cooperative Contract 090122 - Law and order technology.,Equipment - Technology,04/08/2025 12:00:00 AM,04/07/2026 12:00:00 AM
Public Works,25000010383,719342.50,SIMONS CONTRACTING CO,Invitation to Bid,IFB 250008242 / VDOT / SR 147 Pedestrian Safety Phase I & II / 300 day performance time,Construction - Capital/Non-Capital,04/21/2025 12:00:00 AM,04/30/2026 12:00:00 AM
DGS,25000010398,977715.18,Penn Care Inc,Cooperative Agreement,Requisition #250010037 DGS Co-op HGAC Contract #AM-10-23 (6) 2025 Ford Expedition Emergency Response SUVs,"Non Professional Services, Non Technology",04/10/2025 12:00:00 AM,09/30/2027 12:00:00 AM
Justice Services,25000010632,130000.00,RICHMOND BEHAVIORAL HEALTH AUT,Exempt Purchase,Req 250011252 - FY25 MH Clinicians assigned from RBHA,"Non Professional Services, Non Technology",04/16/2025 12:00:00 AM,06/30/2025 12:00:00 AM
Information Technology,25000010638,13270.03,SHI INTERNATIONAL CORP,Cooperative Agreement,"Rx250010700Employee Import Subscription Contract #: 2018011-02 Quote: 25949259 Coverage Term: 6/21/2025 – 6/20/2026"" ""New Hire Export (IN+ON Data) Subscription Contract #: 2024056-02 Quote: 25949259 Coverage Term: 6/21/2025 – 6/2","Non Professional Services, Technology",04/29/2025 12:00:00 AM,07/01/2028 12:00:00 AM
Public Works,25000010804,1478000.00,"Weston & Sampson Engineers, Inc.",Request for Proposal,RFP No. 240009907 is for the Urban Forest Master Plan. The contract duration is for five (5) years with no renewals.,"Non Professional Services, Non Technology",05/16/2025 12:00:00 AM,05/15/2030 12:00:00 AM
Public Works,25000010819,90739.49,JOHNSON CONTROLS INCORPORATED,Agency Request,250004622 Johnson Control Sole Source Fire Station 21 Card reader installation,Equipment - Technology,04/29/2025 12:00:00 AM,02/01/2026 12:00:00 AM
Public Utilities,25000010822,114379.55,Law and Order Technology LLC,Cooperative Agreement,"250004248 COOP Sourcewell Contract #090122-PNA Installation of the Panasonic Toughbooks, DPU",Equipment - Technology,04/23/2025 12:00:00 AM,11/07/2026 12:00:00 AM
Public Utilities,25000011132,1273364.01,TRI-STATE UTILITIES,Invitation to Bid,Contract#21000002507 Annual Cleaning requires name change modification due to recent merger under new name: Tri-State Utilities New supplier has self registered as required by DPS under Supplier#100025553. No change to contract value.,Construction - Capital/Non-Capital,09/07/2020 12:00:00 AM,09/06/2026 12:00:00 AM
Not Listed,25000011165,750000.00,COMMERCIAL ONE ELECTRICAL CONTRACTORS INC,Request for Proposal,"RFP 250003012 / EV Charging Stations / Two-Year Initial Term, 2x Two-Year Renewal Options","Non Professional Services, Non Technology",05/30/2025 12:00:00 AM,05/29/2027 12:00:00 AM
City Attorney,25000011301,16419.24,WEST PUBLISHING CORPORATION,Exempt Purchase,Req# 250012128 / City Attorney / Exemption / West Publishing Subscription,"Non Professional Services, Technology",12/05/2025 12:00:00 AM,12/04/2026 12:00:00 AM
Public Utilities,25000011409,2876950.00,ENGLISH CONSTRUCTION CO INC,Invitation to Bid,"250005770 - IFB - ARPA - CSO Brown & Brown, Inc Regulator Rehabilitation CSO 9, 11, 16, 17 & 18 - duration 365 consecutive calendar days",Construction - Capital/Non-Capital,06/13/2025 12:00:00 AM,06/14/2026 12:00:00 AM
Public Works,25000011781,4215930.00,Gemstone LLC,Invitation to Bid,"IFB No. 250008077 is for the rehabilitation of the Martin Luther King Jr. (MLK) Bridge on Leigh Street over I-95, US Rte. 360 and CSX in the City of Richmond, VA, (UPC 107108). The performance time is 600 calendar days.",Construction - Capital/Non-Capital,06/16/2025 12:00:00 AM,02/06/2027 12:00:00 AM
Fire and Emergency Services,25000012122,308275.00,GRAIL INC,Agency Request,Cancer Screening One Time Event,"Non Professional Services, Non Technology",06/13/2025 12:00:00 AM,06/13/2026 12:00:00 AM
Not Listed,25000012124,750000.00,InCharge Energy Inc,Request for Proposal,"RFP 250003012 EV Chargers / Two Year Initial Term, 2x two-year renewal options","Non Professional Services, Non Technology",05/30/2025 12:00:00 AM,05/29/2027 12:00:00 AM
Public Utilities,25000012137,3500000.00,"Southeast Connections, LLC",Invitation to Bid,"Construction Term from IFB250010529, Utility Locating and Deficiency Remediation, 5yr Term, 2-2yr renewals",Construction - Term,05/22/2025 12:00:00 AM,05/21/2030 12:00:00 AM
Police Department,25000012236,5250.00,Magnet Forensics LLC,Small Purchase,Req 250013473 - Magnet Forensics DVR Examiner Witness Team License,"Non Professional Services, Technology",06/05/2025 12:00:00 AM,06/20/2025 12:00:00 AM
Public Works,25000012243,90832.00,JOHN K GEORGE CO,Request for Quotation,"Req 250012633 Removal of Complete Decking & Joists CONSTRUCTION, BRIDGE AND DRAWBRIDGE, INCLUDING RECONSTRUCTION AND REHABILITATION Kimberly Clark Public Works OETM Seaboard Building",Construction - Term,05/30/2025 12:00:00 AM,08/28/2025 12:00:00 AM
Procurement Services,25000012244,4950.00,D Warner Group LLC,Agency Request,Financial Integrity and Compliance Suite,"Non Professional Services, Non Technology",05/27/2025 12:00:00 AM,08/26/2025 12:00:00 AM
Not Listed,25000012339,750000.00,"ABM eMobility USA, LLC",Request for Proposal,"RFP 250003012 EV Charging Stations / two year initial term, 2x two-year renewal options",Equipment - Non Technology,06/13/2025 12:00:00 AM,06/12/2027 12:00:00 AM
Not Listed,25000012344,750000.00,SWTCH Energy Inc,Request for Proposal,RFP 250003012 EV Chargers / OOS / two-year initial term; 2x two-year renewal options,Equipment - Non Technology,06/09/2025 12:00:00 AM,06/08/2027 12:00:00 AM
City Council,25000012373,13202.37,"Sprout Social, Inc.",Small Purchase,Requisition - 250013019 - City Council - Sprout Social - support improved communication to Richmond Citizens.,"Non Professional Services, Non Technology",,07/14/2026 12:00:00 AM
